Income_Direct_Debit__c,OPPORTUNITY__R.CAMPAIGN.NAME,OPPORTUNITY__R.OUTSTANDING_PAYMENT_AMOUNT__C,OPPORTUNITY__R.TOTAL_AMOUNT_PENDING__C
a0Tb0000005RJ6hEAG,Direct Debit Trial,96,0
a0Tb0000005RJ6wEAG,Direct Debit Trial,96,0
a0Tb0000005RIyPEAW,Direct Debit Trial,96,0
a0Tb0000005RIzDEAW,Direct Debit Trial,96,0
a0Tb0000005RJ0GEAW,Direct Debit Trial,96,0
a0Tb0000005RJ20EAG,Direct Debit Trial,96,0
a0Tb0000005RJ5OEAW,Direct Debit Trial,96,0
a0Tb0000005RK4qEAG,Direct Debit Trial,96,0
a0Tb0000005RK5eEAG,Direct Debit Trial,96,0
a0Tb0000005RKBhEAO,Direct Debit Trial,96,0
a0Tb0000005RKCvEAO,Direct Debit Trial,96,0
a0Tb0000005RKDQEA4,Direct Debit Trial,96,0
a0Tb0000005RKDpEAO,Direct Debit Trial,96,0
a0Tb0000005RKFHEA4,Direct Debit Trial,96,0
a0Tb0000005RHxqEAG,Direct Debit Trial,96,0
a0Tb0000005RI0pEAG,Direct Debit Trial,96,0
a0Tb0000005RI1TEAW,Direct Debit Trial,96,0
a0Tb0000005RMhNEAW,Direct Debit Trial,92,4
a0Tb0000005RMifEAG,Direct Debit Trial,96,0
a0Tb0000005RMipEAG,Direct Debit Trial,96,0
a0Tb0000005RMpEEAW,Direct Debit Trial,96,0
a0Tb0000005RMqvEAG,Direct Debit Trial,96,0
a0Tb0000005RLUMEA4,Direct Debit Trial,96,0
a0Tb0000005RLUbEAO,Direct Debit Trial,96,0
a0Tb0000005RLVNEA4,Direct Debit Trial,96,0
a0Tb0000005RQKpEAO,Direct Debit Trial,96,0
a0Tb0000005RLXdEAO,Direct Debit Trial,96,0
a0Tb0000005RLY2EAO,Direct Debit Trial,96,0
a0Tb0000005RLYREA4,Direct Debit Trial,96,0
a0Tb0000005RQSVEA4,Direct Debit Trial,96,0
a0Tb0000005RLd9EAG,Direct Debit Trial,92,4
